id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0rDOZAwa5hpOIFvej2yBIU,0.237,0.658,4,-7.813,1,0.0335,0.136,3e-05,0.142,0.267,158.351,4
7hpxOaUECY19hQNROQ6rH4,0.224,0.889,5,-6.345,1,0.0672,0.0116,8.74e-05,0.411,0.34,134.936,4
5wh2HkexEQ3dPV4CDjGqMG,0.529,0.743,1,-6.865,1,0.091,0.00378,5.46e-06,0.0432,0.616,112.985,4
3pShTDa5E1bPBkrc1mxxGY,0.536,0.845,2,-5.765,1,0.0615,0.0033,0.0,0.0465,0.6,159.953,4
5me5yFJlnKZr2spcxSbCTW,0.447,0.544,0,-6.509,1,0.378,0.466,0.133,0.547,0.625,139.925,4
2fi8FxdNAfWZ0br7XeNjIR,0.716,0.33,0,-13.283,1,0.046,0.193,2.94e-05,0.124,0.572,139.927,4
3m1JFLpKLYgMi1jf6Bu16P,0.252,0.872,8,-3.752,1,0.0777,0.00912,8.79e-06,0.109,0.399,126.938,4
79ZeN4pLdlB3XfGnJXwMFR,0.605,0.555,5,-10.323,1,0.0823,0.357,0.00145,0.226,0.212,86.984,4
41BPaKM3OVc8gs3VXbAAu6,0.899,0.763,2,-11.548,1,0.0601,0.262,0.627,0.0869,0.905,122.005,4
5E5HYgxGMp3BPakHGfKfIB,0.462,0.84,2,-6.667,1,0.0346,5.05e-05,6.47e-05,0.0893,0.805,75.542,4
0ZYyAD3ZFssmqUrfBhjQst,0.15,0.211,9,-12.814,0,0.0369,0.792,0.174,0.169,0.141,82.68,4
4dqhnjsX69qGQ7DCMSTY7v,0.447,0.568,2,-9.172,1,0.0423,0.473,0.00028,0.0824,0.309,117.561,4
03CS8ifzdYuzNCyzshYl7Z,0.375,0.661,6,-7.113,0,0.0362,2.29e-05,0.0135,0.23,0.512,91.611,4
68Cz5sfSKx1ugwoxJzLIHh,0.252,0.147,2,-19.74,0,0.0365,0.911,0.949,0.103,0.0317,108.025,4
5mSZLysuAtdNA21mbOm0sx,0.345,0.811,1,-11.948,0,0.0654,0.0606,0.0466,0.357,0.625,142.834,4
7cXuFSLLGDyo3mSm9i7n4t,0.431,0.451,1,-9.064,1,0.0299,0.858,0.267,0.136,0.257,141.406,4
15BsrefgYpMgu1ZCIr8EJw,0.398,0.92,2,-3.267,0,0.0491,0.00311,0.000531,0.108,0.226,200.131,4
4DNWkjZlBuGgSmNnqOVBeN,0.56,0.399,10,-9.848,1,0.0284,0.128,0.726,0.112,0.283,136.903,4
4DQ1VuWATAvpueRqTTqFQp,0.595,0.696,4,-4.551,1,0.0311,0.0492,0.0,0.12,0.725,131.561,4
